 


Daily Averaged Summary
RIVERSIDE MUNI AP (CA)
WBAN ID: 03171
Lat/Lon/Elev: 33.9519/-117.4386/805ft.
 
Date,Max Hourly Temp (F),Min Hourly Temp (F),Mean Hourly Temp (F),Max Dew Point Temp (F),Min Dew Point Temp (F),Mean Dew Point Temp (F),Min RH (%),Max RH (%),Mean Pres (inHg),Mean Wind Speed (mph),Max Wind Speed (mph),Max Wind Gust (mph),Mean Wind Dir (deg),Total Precip (in),Max Hourly Precip (in),
2017-07-06,102,67,83.2,59,51,56.1,20,71,984.51,4.5,16,21,307.2,0.00,0.00,
2017-07-07,107,72,88.5,60,55,58.3,20,64,981.45,4.9,16,22,M,0.00,0.00,
2017-07-08,107,75,88.8,63,53,59.5,19,60,980.60,5.5,16,20,300.5,0.00,0.00,
2017-07-09,103,72,85.0,67,58,62.7,26,79,982.81,6.6,21,28,M,0.00,0.00,
2017-07-10,99,74,84.3,62,54,59.4,23,66,982.60,6.2,20,25,M,0.00,0.00,
2017-07-11,94,70,80.7,65,57,61.6,32,81,983.25,6.3,17,24,295.0,0.00,0.00,
2017-07-12,94,67,80.1,65,58,61.3,31,90,984.12,5.5,15,22,M,0.00,0.00,
2017-07-13,95,66,79.6,64,51,58.7,25,87,985.39,6.1,16,21,M,0.00,0.00,
2017-07-14,95,68,80.7,61,53,56.7,24,76,985.27,5.4,15,24,297.8,0.00,0.00,
2017-07-15,100,68,81.3,64,57,60.5,26,73,983.44,4.9,15,21,296.0,0.00,0.00,
2017-07-16,94,69,79.9,66,61,63.1,36,81,981.76,6.3,16,24,298.2,0.00,0.00,
2017-07-17,95,69,79.2,66,63,64.3,36,84,981.74,6.6,20,28,300.0,0.00,0.00,
2017-07-18,94,68,79.0,65,55,61.6,33,87,983.56,5.2,16,23,302.3,0.00,0.00,
2017-07-19,93,70,79.4,64,60,61.9,34,79,984.58,5.1,13,16,M,0.00,0.00,
2017-07-20,95,68,78.9,65,54,61.1,27,84,984.94,M,M,23,M,0.00,0.00,
2017-07-21,94,63,77.9,64,52,60.2,27,93,983.30,M,M,21,M,0.00,0.00,
2017-07-22,95,66,78.5,65,61,63.1,32,93,982.24,6.3,16,21,287.4,0.00,0.00,
2017-07-23,96,67,78.6,66,55,62.5,25,90,981.54,6.6,17,25,M,0.00,0.00,
2017-07-24,83,67,73.1,66,62,63.6,51,87,982.86,4.8,11,M,282.3,0.01,0.01,
2017-07-25,90,68,76.1,65,61,63.3,38,90,984.61,6.9,16,22,281.7,0.00,0.00,
2017-07-26,94,65,77.9,65,62,63.1,37,90,985.13,7.0,15,23,275.1,0.00,0.00,
2017-07-27,97,68,80.0,64,57,61.4,29,87,983.39,5.9,16,23,M,0.00,0.00,
2017-07-28,94,65,77.1,64,57,61.4,30,90,983.30,6.7,18,24,M,0.00,0.00,
2017-07-29,95,63,75.9,63,56,61.1,31,90,985.26,6.5,18,23,293.0,0.00,0.00,
2017-07-30,93,65,76.3,64,60,62.5,34,90,986.35,5.2,15,20,M,0.00,0.00,
2017-07-31,96,64,78.6,65,60,63.1,33,96,983.49,6.3,13,20,M,0.00,0.00,
2017-08-01,104,71,82.0,75,60,68.3,26,90,981.83,6.0,23,34,M,M,0.01,
2017-08-02,95,74,83.8,71,66,68.7,39,85,982.97,3.1,8,M,324.3,0.00,0.00,
2017-08-03,102,76,85.6,69,64,66.8,32,74,984.30,6.9,21,24,M,0.00,0.00,
2017-08-04,96,72,82.1,65,56,62.1,31,71,983.92,6.6,18,25,290.6,0.00,0.00,
2017-08-05,93,67,77.2,64,57,62.1,36,87,983.01,5.8,15,22,M,0.00,0.00,
2017-08-06,92,65,76.6,65,61,63.2,36,93,982.52,5.3,14,21,305.0,0.00,0.00,
2017-08-07,93,66,78.2,65,59,63.0,34,90,982.73,5.4,14,24,283.8,0.00,0.00,
2017-08-08,99,67,80.7,64,49,58.8,19,84,982.35,4.5,15,20,312.8,0.00,0.00,
2017-08-09,96,66,79.2,64,53,59.2,26,87,982.48,4.7,17,22,320.3,0.00,0.00,
2017-08-10,96,66,79.8,63,53,60.1,25,84,982.45,6.4,18,22,M,0.00,0.00,
2017-08-11,98,67,80.2,64,58,61.7,28,87,981.15,6.5,18,24,M,0.00,0.00,
2017-08-12,97,65,77.7,64,57,61.0,27,90,981.92,5.5,13,23,M,0.00,0.00,
2017-08-13,95,63,75.4,64,48,60.1,21,97,982.81,6.2,20,25,M,M,0.00,
2017-08-14,89,63,71.8,63,56,60.6,34,97,982.07,6.1,16,20,M,M,0.00,
2017-08-15,79,63,69.1,61,58,58.6,49,94,982.57,5.0,14,17,309.2,M,0.00,
2017-08-16,85,62,71.2,60,55,58.1,36,87,984.32,5.5,17,20,M,0.00,0.00,
2017-08-17,88,63,73.4,61,47,57.5,32,90,985.26,6.4,18,22,M,0.00,0.00,
2017-08-18,88,64,74.6,62,56,60.2,36,90,984.71,6.2,15,23,292.1,0.00,0.00,
2017-08-19,89,63,73.1,63,60,60.8,38,97,983.64,6.1,15,21,M,M,0.00,
2017-08-20,89,62,71.3,61,57,60.5,36,93,983.24,6.6,17,24,274.7,0.00,0.00,
2017-08-21,88,64,72.7,62,58,60.4,36,90,985.17,5.4,15,18,M,0.00,0.00,
2017-08-22,94,63,75.6,62,58,60.9,32,90,985.04,6.1,17,22,282.9,0.00,0.00,
2017-08-23,85,65,72.3,64,60,61.8,43,93,983.87,6.5,14,20,M,M,0.00,
2017-08-24,87,65,72.3,63,60,61.2,40,87,980.83,6.2,15,23,290.0,M,M,
2017-08-25,88,63,73.0,63,60,62.3,43,94,979.95,5.5,14,17,M,M,0.00,
2017-08-26,102,65,80.7,65,59,62.6,26,93,982.88,5.2,17,20,300.2,0.00,0.00,
2017-08-27,98,67,82.0,64,54,59.3,29,84,982.45,5.4,15,23,M,0.00,0.00,
2017-08-28,106,71,87.0,64,54,58.5,20,66,979.80,2.9,11,M,330.9,0.00,0.00,
2017-08-29,108,76,91.0,64,51,59.7,16,67,978.99,5.1,18,24,314.0,0.00,0.00,
2017-08-30,107,75,92.0,65,53,59.6,19,69,977.72,4.9,16,24,323.9,0.00,0.00,
2017-08-31,111,77,90.6,69,48,60.0,13,77,978.04,5.2,11,39,46.6,M,0.11,
2017-09-01,109,78,93.9,66,49,58.5,14,66,978.75,6.4,16,25,M,0.00,0.00,
2017-09-02,108,78,91.8,68,58,64.0,22,66,980.02,6.0,15,23,36.3,0.00,0.00,
2017-09-03,100,73,85.1,73,62,67.3,29,91,983.94,7.6,15,36,226.2,0.22,0.22,
2017-09-04,88,71,75.9,70,67,68.5,55,91,M,4.8,18,28,312.1,M,M,
2017-09-05,92,68,78.7,68,65,66.3,42,93,984.20,5.2,13,17,M,0.00,0.00,
2017-09-06,94,71,79.0,67,57,63.0,33,84,983.90,5.7,16,M,M,M,0.00,
2017-09-07,95,64,78.4,62,51,58.9,26,87,981.91,4.0,14,21,318.3,0.00,0.00,
2017-09-08,92,66,76.2,65,57,61.2,34,87,981.81,4.4,13,22,306.3,0.00,0.00,
2017-09-09,90,64,76.1,64,47,58.9,26,96,984.12,5.0,14,23,308.9,M,0.00,
2017-09-10,100,67,82.1,60,54,58.0,22,73,982.47,4.6,17,24,M,M,0.00,
2017-09-11,100,73,82.4,64,54,61.3,22,68,982.54,4.7,20,24,327.1,0.00,0.00,
2017-09-12,89,69,77.2,64,62,62.8,43,81,982.65,5.6,15,M,299.1,0.00,0.00,
2017-09-13,82,64,70.4,63,57,60.4,47,93,981.95,7.8,18,25,M,M,0.00,
2017-09-14,74,61,67.3,59,53,56.4,48,87,983.00,5.8,14,17,M,M,0.00,
2017-09-15,77,64,68.7,60,56,58.3,50,84,982.56,6.4,17,20,282.6,M,0.00,
2017-09-16,82,63,69.1,61,57,59.2,42,93,982.51,5.1,16,17,M,M,0.00,
2017-09-17,77,63,68.2,63,58,60.4,52,100,983.76,5.4,11,M,284.2,M,M,
2017-09-18,83,59,68.7,62,57,59.6,43,93,983.33,5.0,14,18,295.3,M,0.00,
2017-09-19,78,64,69.4,61,55,58.8,48,90,982.63,5.2,14,17,280.9,M,M,
2017-09-20,79,64,68.8,61,56,59.3,45,87,981.68,5.1,10,M,M,0.00,0.00,
2017-09-21,75,58,66.3,61,45,54.7,49,90,980.58,5.9,17,21,312.1,0.00,0.00,
2017-09-22,74,53,63.2,53,43,49.4,36,83,980.56,5.4,16,18,M,0.00,0.00,
2017-09-23,77,54,63.9,53,48,50.8,36,90,980.55,4.5,16,24,312.2,0.00,0.00,
2017-09-24,84,53,69.3,51,26,40.1,12,87,981.46,4.0,15,M,M,0.00,0.00,
2017-09-25,89,57,72.8,42,24,32.0,10,54,980.23,6.5,15,24,M,0.00,0.00,
2017-09-26,90,57,72.9,46,29,37.5,11,52,979.31,7.0,21,28,354.9,0.00,0.00,
2017-09-27,91,57,73.0,55,34,45.5,13,62,981.56,5.9,20,20,326.1,0.00,0.00,
2017-09-28,96,59,76.6,50,28,41.9,10,69,982.33,5.2,16,18,M,0.00,0.00,
2017-09-29,94,60,76.1,51,33,43.1,13,55,982.17,5.5,17,M,315.0,0.00,0.00,
2017-09-30,87,59,71.1,61,44,53.0,24,93,981.43,4.3,14,21,313.5,0.00,0.00,
2017-10-01,82,59,67.3,60,53,57.2,38,97,979.21,5.0,15,21,M,M,0.00,
2017-10-02,79,62,67.5,58,52,56.0,41,84,978.56,4.4,15,21,M,M,M,
2017-10-03,75,60,65.5,59,52,56.2,48,90,981.48,4.2,14,M,329.7,M,0.00,
2017-10-04,85,55,67.9,56,33,50.3,16,100,984.17,2.9,11,M,M,0.00,0.00,
2017-10-05,89,54,70.5,51,25,43.3,11,81,982.43,3.7,14,M,M,0.00,0.00,
2017-10-06,97,57,77.5,47,19,31.0,6,67,982.65,6.3,13,23,34.6,0.00,0.00,
2017-10-07,97,61,77.0,45,18,31.8,7,50,979.50,4.8,17,20,355.8,0.00,0.00,
2017-10-08,85,55,68.4,59,35,47.8,19,88,977.60,4.5,14,22,313.0,M,0.00,
2017-10-09,85,59,72.3,58,12,22.5,7,87,982.99,8.7,21,40,35.1,M,0.00,
2017-10-10,89,58,71.3,44,15,26.9,7,52,983.26,4.1,15,M,351.2,0.00,0.00,
2017-10-11,82,56,67.6,57,35,46.9,23,87,981.89,4.8,14,21,327.7,0.00,0.00,
2017-10-12,81,55,65.2,57,50,54.9,35,100,983.40,3.2,11,M,322.9,M,0.00,
2017-10-13,82,55,66.6,59,50,54.9,33,93,984.35,3.4,11,M,M,0.00,0.00,
2017-10-14,93,56,75.0,57,13,31.8,6,97,985.44,6.1,11,25,28.9,0.00,0.00,
2017-10-15,95,62,78.3,33,15,20.9,5,29,988.50,5.7,11,20,52.5,0.00,0.00,
2017-10-16,97,61,78.1,39,17,29.8,6,32,987.51,4.8,14,16,32.7,0.00,0.00,
2017-10-17,97,63,77.9,47,25,34.6,9,47,985.03,5.2,16,M,6.5,0.00,0.00,
2017-10-18,90,64,74.6,56,37,47.8,16,68,983.46,5.0,17,M,M,0.00,0.00,
2017-10-19,77,59,66.9,62,53,57.5,47,94,982.65,4.2,16,M,311.0,M,0.00,
2017-10-20,75,61,65.6,61,51,56.1,46,94,983.25,4.9,16,22,301.2,M,M,
2017-10-21,84,55,68.6,54,25,40.8,12,93,987.31,4.0,13,23,17.2,0.00,0.00,
2017-10-22,94,59,77.0,35,26,30.2,10,35,989.48,7.0,13,21,52.6,0.00,0.00,
2017-10-23,101,65,83.7,41,27,33.5,8,34,988.59,6.6,15,26,44.8,0.00,0.00,
2017-10-24,98,73,86.9,39,30,34.8,10,29,987.36,9.8,18,34,29.4,0.00,0.00,
2017-10-25,99,64,79.9,40,25,33.3,7,37,982.95,4.8,8,M,59.7,0.00,0.00,
2017-10-26,94,62,75.7,43,30,36.5,11,46,982.41,4.4,13,M,9.7,0.00,0.00,
2017-10-27,93,57,73.2,56,33,43.6,13,68,983.02,3.8,11,M,345.0,M,0.00,
2017-10-28,91,56,70.6,56,42,51.0,20,78,981.70,3.4,14,M,335.5,0.00,0.00,
2017-10-29,77,53,63.6,59,53,57.1,50,100,981.73,4.1,11,M,M,M,M,
2017-10-30,70,61,63.5,59,52,55.6,55,93,981.65,3.7,13,M,M,M,0.00,
2017-10-31,70,61,63.7,56,52,54.6,53,84,982.92,2.9,9,M,341.2,M,0.00,
2017-11-01,71,60,64.0,56,49,54.1,46,86,983.92,3.5,14,M,M,0.00,0.00,
2017-11-02,66,60,62.1,56,49,52.3,56,86,987.31,5.5,13,M,288.7,M,0.00,
2017-11-03,69,54,61.6,51,45,48.3,42,83,988.02,4.1,11,M,306.7,0.00,0.00,
2017-11-04,72,53,61.0,55,47,50.3,44,90,986.10,5.3,14,17,313.0,0.00,0.00,
2017-11-05,71,55,61.5,57,51,53.5,51,94,987.98,4.5,10,M,277.5,M,0.00,
2017-11-06,74,54,62.6,54,46,51.2,38,93,988.21,3.8,10,M,336.2,0.00,0.00,
2017-11-07,77,56,64.9,53,49,51.6,40,87,988.46,3.8,9,M,345.2,0.00,0.00,
2017-11-08,76,53,63.9,56,50,52.9,43,90,987.30,3.8,15,M,350.4,0.00,0.00,
2017-11-09,72,54,62.0,59,52,54.7,51,100,987.15,2.6,9,M,327.1,M,M,
2017-11-10,69,53,59.4,54,51,52.7,55,94,985.95,3.0,8,M,346.3,M,0.00,
2017-11-11,75,49,59.7,54,39,50.5,27,100,986.05,2.7,10,M,M,0.00,0.00,
2017-11-12,68,52,59.6,53,46,50.7,55,93,987.86,1.7,5,M,353.0,0.00,0.00,
2017-11-13,76,50,60.7,51,39,47.9,27,96,989.10,2.8,8,M,M,0.00,0.00,
2017-11-14,80,49,63.0,48,34,41.9,21,77,987.53,3.6,8,M,M,0.00,0.00,
2017-11-15,79,54,64.5,48,40,44.1,27,72,985.20,2.9,7,M,27.4,0.00,0.00,
2017-11-16,80,55,66.8,50,42,45.8,29,72,984.98,3.5,9,M,356.6,0.00,0.00,
2017-11-17,72,61,64.5,59,49,54.1,46,93,987.48,3.1,10,M,M,0.01,0.01,
2017-11-18,78,53,65.4,58,19,33.5,13,100,989.48,6.1,11,23,53.5,0.00,0.00,
2017-11-19,79,49,62.5,38,13,25.7,10,57,986.92,3.6,10,M,M,0.00,0.00,
2017-11-20,76,49,60.8,39,23,31.0,16,64,986.66,3.9,8,M,11.4,0.00,0.00,
2017-11-21,93,54,72.2,37,30,33.7,13,51,987.79,4.9,9,M,M,0.00,0.00,
2017-11-22,94,62,75.6,43,37,38.7,14,43,987.85,5.5,9,20,54.2,0.00,0.00,
2017-11-23,93,61,74.4,48,37,41.6,14,50,985.79,3.5,8,M,25.2,0.00,0.00,
2017-11-24,87,57,70.3,47,40,42.8,19,58,983.26,3.6,9,M,16.3,0.00,0.00,
2017-11-25,87,57,69.7,49,40,43.9,19,60,986.37,4.0,9,M,19.6,0.00,0.00,
2017-11-26,81,52,63.8,55,40,48.1,25,93,987.22,3.3,9,M,333.3,0.00,0.00,
2017-11-27,66,49,57.5,57,43,49.6,49,100,985.25,4.4,13,M,289.0,M,M,
2017-11-28,76,50,62.9,44,26,33.6,16,80,984.99,4.2,9,16,M,0.00,0.00,
2017-11-29,80,48,62.4,43,19,33.6,11,66,986.55,4.9,9,M,41.9,0.00,0.00,
2017-11-30,78,47,60.4,48,29,38.0,17,75,986.85,2.3,7,M,7.0,0.00,0.00,
2017-12-01,78,48,61.4,48,36,42.0,24,80,985.46,3.6,9,M,349.0,0.00,0.00,
2017-12-02,79,47,61.0,49,40,44.8,26,83,985.41,3.8,10,M,356.5,0.00,0.00,
2017-12-03,70,49,57.5,53,44,48.3,44,93,985.69,3.2,7,M,M,0.00,0.00,
2017-12-04,64,49,57.7,48,7,17.6,12,97,985.67,14.2,21,41,31.6,0.00,0.00,
2017-12-05,63,53,57.6,9,3,6.9,11,17,990.31,13.7,22,43,29.8,0.00,0.00,
2017-12-06,73,49,65.0,14,1,8.3,8,22,991.64,11.2,20,34,28.6,0.00,0.00,
2017-12-07,74,54,65.6,18,2,7.5,6,25,996.01,9.4,18,36,45.8,0.00,0.00,
2017-12-08,79,49,63.5,24,12,16.9,9,35,995.89,5.7,13,23,56.3,0.00,0.00,
2017-12-09,80,49,64.1,24,9,16.1,8,34,993.12,6.6,11,23,71.4,0.00,0.00,
2017-12-10,80,52,67.0,18,7,12.0,7,24,991.79,7.1,13,22,58.3,0.00,0.00,
2017-12-11,81,51,66.6,18,-1,9.8,5,24,992.36,6.3,9,16,52.4,0.00,0.00,
2017-12-12,83,47,63.9,20,-4,7.1,4,26,990.30,6.3,9,M,53.5,0.00,0.00,
2017-12-13,82,48,61.2,32,5,18.6,6,50,985.72,5.4,9,M,29.6,0.00,0.00,
2017-12-14,80,43,65.0,24,13,17.1,8,46,986.58,8.3,17,39,32.7,0.00,0.00,
2017-12-15,80,50,63.3,30,8,18.9,7,42,988.19,4.0,10,M,26.5,0.00,0.00,
2017-12-16,68,47,56.2,50,23,35.6,25,86,977.94,4.9,14,25,2.6,0.00,0.00,
2017-12-17,67,53,59.3,23,17,18.8,17,26,984.16,12.8,20,34,34.3,0.00,0.00,
2017-12-18,71,45,56.8,36,16,25.2,14,59,990.42,3.9,8,M,31.0,0.00,0.00,
2017-12-19,69,43,54.0,41,23,30.4,18,77,991.84,3.4,7,M,14.7,0.00,0.00,
2017-12-20,62,42,51.3,47,32,40.5,51,83,988.74,5.8,16,23,324.1,0.00,0.00,
2017-12-21,61,46,53.2,18,3,8.4,10,27,989.92,11.0,17,28,20.8,0.00,0.00,
2017-12-22,66,37,50.6,20,4,11.2,9,37,994.03,3.6,7,M,56.0,0.00,0.00,
2017-12-23,68,42,53.4,26,6,17.8,9,40,991.69,3.5,7,M,36.5,0.00,0.00,
2017-12-24,76,45,57.1,32,5,21.4,7,52,989.71,3.6,11,M,16.6,0.00,0.00,
2017-12-25,70,42,53.7,33,21,26.2,16,54,988.98,2.6,6,M,31.4,0.00,0.00,
2017-12-26,69,40,53.2,33,21,27.6,16,60,989.56,3.2,7,M,29.1,0.00,0.00,
2017-12-27,79,44,58.9,36,26,30.6,15,56,990.05,3.6,8,M,31.6,0.00,0.00,
2017-12-28,84,44,62.3,33,25,29.2,12,60,989.61,3.9,8,M,52.9,0.00,0.00,
2017-12-29,84,50,64.4,34,16,26.3,9,44,989.28,3.7,7,M,33.5,0.00,0.00,
2017-12-30,77,46,59.2,42,23,30.4,14,71,988.41,3.5,7,M,4.4,0.00,0.00,
2017-12-31,71,46,56.1,44,29,37.4,21,80,988.92,2.1,7,M,16.6,0.00,0.00,
2018-01-01,75,44,56.5,46,30,37.0,19,83,990.42,3.0,7,M,23.7,0.00,0.00,
2018-01-02,84,49,63.5,45,17,31.1,8,83,989.55,4.2,8,16,46.2,0.00,0.00,
2018-01-03,76,54,64.4,40,25,29.7,15,53,987.97,2.9,6,M,39.5,0.00,0.00,
2018-01-04,76,48,61.8,48,28,37.9,18,69,990.01,3.2,8,M,353.0,M,M,
2018-01-05,74,52,61.8,57,45,51.5,46,87,991.55,2.7,8,M,356.0,M,M,
2018-01-06,71,55,62.1,56,50,53.5,49,93,989.77,3.9,8,M,300.4,M,M,
2018-01-07,75,50,62.2,52,44,49.5,33,96,987.55,2.6,6,M,27.1,M,M,
2018-01-08,63,58,59.8,58,48,54.0,65,100,983.77,3.1,7,M,40.3,M,M,
2018-01-09,59,51,54.5,57,50,52.6,72,100,978.65,4.7,18,25,46.0,M,M,
2018-01-10,61,46,53.2,53,46,49.7,65,100,987.09,1.8,8,M,4.5,M,M,
2018-01-11,72,45,56.9,53,45,49.1,46,100,992.00,M,M,M,M,M,M,
2018-01-12,76,48,61.5,49,40,44.9,30,89,990.81,4.8,10,17,41.6,0.00,0.00,
2018-01-13,80,51,65.7,44,27,35.3,16,69,990.70,8.0,14,23,61.3,0.00,0.00,
2018-01-14,81,53,65.9,40,27,34.1,14,57,990.17,5.1,10,M,49.8,0.00,0.00,
2018-01-15,75,50,60.6,46,33,39.8,22,72,989.25,2.7,8,M,358.0,0.00,0.00,
2018-01-16,71,50,58.8,47,39,44.0,31,83,990.07,2.2,7,M,17.8,0.00,0.00,
2018-01-17,81,50,64.3,45,33,40.1,19,80,990.26,5.0,8,M,49.8,0.00,0.00,
2018-01-18,79,51,62.7,47,34,42.3,20,70,988.09,4.7,16,M,19.4,0.00,0.00,
2018-01-19,65,48,55.6,53,45,49.9,63,100,984.73,5.3,14,16,325.6,M,M,
2018-01-20,60,44,52.3,48,25,36.3,29,96,986.11,5.5,15,M,294.1,0.02,0.01,
2018-01-21,61,38,49.5,35,23,29.8,24,73,993.97,4.1,8,M,49.3,0.00,0.00,
2018-01-22,69,40,53.4,34,14,24.7,12,77,992.83,4.5,11,M,44.7,0.00,0.00,
2018-01-23,75,42,58.1,29,22,26.6,16,60,990.70,5.8,10,M,M,0.00,0.00,
2018-01-24,75,43,58.0,31,17,25.8,11,58,988.78,3.6,8,M,32.8,0.00,0.00,
2018-01-25,60,40,50.0,49,30,39.4,52,89,987.86,5.2,14,20,331.8,0.00,0.00,
2018-01-26,68,42,53.7,44,19,29.8,16,93,991.54,5.2,11,M,56.7,0.00,0.00,
2018-01-27,71,39,58.8,28,11,19.2,10,62,992.31,7.3,18,33,M,0.00,0.00,
2018-01-28,81,63,72.4,28,21,25.5,14,21,991.93,12.8,20,36,35.0,0.00,0.00,
2018-01-29,84,62,72.5,33,23,26.1,12,30,990.39,7.3,14,23,53.7,0.00,0.00,
2018-01-30,81,54,65.0,37,23,30.2,12,45,987.26,3.3,6,M,M,M,0.00,
2018-01-31,81,50,62.6,39,24,32.9,12,54,984.86,4.8,10,M,M,0.00,0.00,
2018-02-01,82,48,64.7,39,27,34.4,14,63,986.26,4.4,7,M,18.2,0.00,0.00,
2018-02-02,85,53,66.0,40,24,33.4,11,53,988.48,3.9,10,M,28.5,0.00,0.00,
2018-02-03,84,51,66.3,43,33,37.3,16,59,988.02,5.0,11,M,M,0.00,0.00,
2018-02-04,86,51,66.2,44,26,38.0,11,60,986.90,M,M,M,M,0.00,0.00,
2018-02-05,80,52,64.2,52,32,42.0,19,77,984.32,M,M,M,M,0.00,0.00,
2018-02-06,82,46,61.1,51,39,45.9,22,100,986.08,3.3,11,M,338.6,M,0.00,
2018-02-07,83,50,67.1,40,15,23.4,9,57,991.67,6.3,8,17,60.0,0.00,0.00,
2018-02-08,85,50,65.7,33,20,25.8,9,40,988.62,3.8,8,M,M,0.00,0.00,
2018-02-09,80,50,63.2,51,28,37.8,16,83,984.70,4.5,11,M,M,0.00,0.00,
2018-02-10,63,51,55.5,52,48,50.2,59,100,982.51,2.6,7,M,M,M,M,
2018-02-11,74,49,61.3,48,2,25.8,7,93,981.95,8.5,21,25,M,0.00,0.00,
2018-02-12,63,50,54.6,50,37,43.1,38,87,981.55,6.2,17,M,289.9,M,0.00,
2018-02-13,65,43,54.5,43,31,38.1,30,89,989.10,3.8,10,17,27.8,0.00,0.00,
2018-02-14,68,49,57.8,47,40,42.8,41,77,988.81,2.9,8,M,M,0.01,0.01,
2018-02-15,72,50,61.5,47,16,34.0,18,86,989.04,6.8,15,24,26.7,0.00,0.00,
2018-02-16,73,48,61.3,29,9,18.0,9,46,989.98,5.1,9,20,M,0.00,0.00,
2018-02-17,78,44,59.6,37,16,25.9,10,57,988.55,4.3,11,M,356.4,0.00,0.00,
2018-02-18,69,46,56.1,48,33,39.1,29,83,983.73,5.4,16,26,329.3,0.00,0.00,
2018-02-19,57,39,49.7,45,11,26.7,17,83,981.87,10.6,22,36,255.8,M,0.00,
2018-02-20,59,34,46.0,24,3,14.9,11,57,989.25,4.4,13,18,M,0.00,0.00,
2018-02-21,57,39,47.8,34,18,25.2,25,73,989.82,5.9,15,21,247.2,0.00,0.00,
